Code;Désignation;Unité;Prix;Depot Antanankoro;Depot Stock C;Magasin Mahambolona;Total
20010700;BISCUIT GLUCOSE MILK FRESH;PAQUET;2.500;0;0;0;0
20010701;BISCUIT GLUCOSE MILK FRESH;CARTON;25.000;0;0;0;0
10010800;Biscuit glucose pm Anita (Ass);SACHET;1.900;0;0;0;0
10010801;Biscuit glucose pm Anita (Ass);CARTON;19.000;0;0;0;0
20010900;Biscuit glucose zaza botra;SACHET;2.800;0;0;0;0
20010901;Biscuit glucose zaza botra;CARTON;28.000;0;0;0;0
10011000;BISCUIT GLUCOSE ZAZA BOTRA EN PCS;PCS;300;0;0;0;0
10011100;BISCUIT HAPPY;SACHET;3.000;0;0;0;0
10011101;BISCUIT HAPPY;CARTON;45.000;0;0;0;0
10011200;BISCUIT HERO;PQT;1.000;0;0;324;324
10011201;BISCUIT HERO;CARTON;24.000;0;0;12,96;12,96
10011300;BISCUIT ITALIANO 77*P/24X6;PIECE;1.400;0;0;130;130
10011301;BISCUIT ITALIANO 77*P/24X6;CARTON;190.000;0;0;21,67;21,67
10011302;BISCUIT ITALIANO 77*P/24X6;PAQUET;27.700;0;0;0,90;0,90
10011400;Biscuit kit choco pm;SACHET;2.000;0;0;0;0
10011401;Biscuit kit choco pm;CARTON;30.000;0;0;0;0
20011500;BISCUIT KIT COCO CHOCO PM;SACHET;2.000;0;0;24;24
20011501;BISCUIT KIT COCO CHOCO PM;CARTON;30.000;0;0;1,60;1,60
10011600;BISCUIT KIT COCO GM;SACHET;2.000;0;0;0;0
10011601;BISCUIT KIT COCO GM;CARTON;30.000;0;0;0;0
10011700;Biscuit lexus crackers;BOITE;9.000;0;0;0;0
20011800;BISCUIT MAHABIBO;SACHET;2.100;0;0;1;1
20011801;BISCUIT MAHABIBO;CARTON;29.000;0;0;0,07;0,07
20011900;BISCUIT MAJOR;PIECE;3.400;0;0;6;6
20011901;BISCUIT MAJOR;CARTON;58.000;0;0;0,30;0,30
10012000;Biscuit malt'n milt energy;SACHET;2.400;0;0;0;0
10012001;Biscuit malt'n milt energy;CARTON;24.000;0;0;0;0
10012100;BISCUIT MARIA MAMMA MIA;UNITE;0;0;0;0;0
10012101;BISCUIT MARIA MAMMA MIA;SACHET;4.200;0;0;0;0
10012102;BISCUIT MARIA MAMMA MIA;CARTON;50.000;0;0;0;0
10012200;BISCUIT MARIE;SACHET;4.900;0;0;0;0
10012201;BISCUIT MARIE;CARTON;48.000;0;0;0;0
10012300;BISCUIT MARIE CLASSIC 9.5G;SACHET;6.000;0;0;0;0
10012301;BISCUIT MARIE CLASSIC 9.5G;CARTON;120.000;0;0;0;0
20012400;BISCUIT MARIE LONDON;PAQUET;8.000;0;0;0;0
20012401;BISCUIT MARIE LONDON;CARTON;32.000;0;0;0;0
20012500;Biscuit marie pm;SACHET;2.400;0;0;0;0
20012501;Biscuit marie pm;CARTON;24.000;0;0;0;0
20012600;BISCUIT MARIE SPECIAL;SACHET;4.000;0;0;0;0
20012700;BISCUIT MARIE SPECIAL OLD;SACHET;4.000;0;0;0;0
20012701;BISCUIT MARIE SPECIAL OLD;CARTON;40.000;0;0;0;0
10012800;BISCUIT MIAM PM;SACHET;2.800;0;0;209;209
10012801;BISCUIT MIAM PM;CARTON;42.000;0;0;13,93;13,93
20012900;BISCUIT MILAY BE CHOCO-FROMAGE 45PCS;SACHET;8.500;0;0;4;4
10013000;BISCUIT MINI CREAM COOCKIES;SACHET;4.000;0;0;0;0
10013001;BISCUIT MINI CREAM COOCKIES;CARTON;40.000;0;0;0;0
20013100;BISCUIT NICE BLEU GM;SACHET;2.800;0;0;1;1
20013101;BISCUIT NICE BLEU GM;CARTON;28.000;0;0;0,10;0,10
20013200;BISCUIT NICE BLEU PM;SACHET;2.400;0;0;0;0
20013201;BISCUIT NICE BLEU PM;CARTON;24.000;0;0;0;0
10013300;BISCUIT NOOR'S WAFER ASS 7G;BOITE;9.500;0;0;4;4
10013400;BISCUIT NOOR'S WAFER ASS EN PCS;PIECE;200;0;0;58;58
10013500;BISCUIT RAMA CREAMZ MIX 48PCS;PIECE;1.900;0;0;26;26
10013501;BISCUIT RAMA CREAMZ MIX 48PCS;CARTON;88.000;0;0;0,54;0,54
